CONCORDANCES

365

M 137.19-20	§6.3

M 138.3	§14.27

M 140.20-22	§4.6

M 140.31	§5.2

M 142.6	§19.3

M 144.9	§5.9

SAṂYUTTA REFERENCES

S 1.1	§9.10, 15.5

S 1.20	§5.6

S 1.80	§12.23

S 2.5	§15.10

S 2.26	§8.6

S 4.16	§14.21

S 5.10	§5.35

S 6.1	§§1.11

S 6.15	§2.18

S 12.15	§§5.32, 13.23

S 12.18	§13.26

S 12.20	§3.3

S 12.27	§17.7

S 12.38	§8.21

S 12.41	§§3.4, 18.8

S 12.48	§13.25

S 12.49	§17.8

S 12.51	§14.26

S 12.64	§8.24

S 12.67	§§13.27, 16.17

S 12.68	§16.23

S 12.70	§17.4

S 13.10	§19.12

S 14.12	§2.13

S 20.7	§12.15

S 22.1	§18.3

S 22.4	§20.9

S 22.36	§10.10

S 22.49	§5.5

S 22.53	§8.22

S 22.59	§5.8

S 22.59	§5.31

S 22.80	§14.11

S 22.81	§4.5

S 22.85	§10.20

S 22.86	§10.19

S 22.87	§10.4

S 22.90	§5.32

S 22.109	§17.9

S 22.122	§16.15

S 24.1	§18.4

S 25.1	§17.10

S 35.28	§2.9

S 35.80	§14.6

S 35.82	§14.18

S 35.83	§11.5

S 35.85	§12.10

S 35.90	§14.22

S 35.116	§14.19

S 35.131	§14.9

S 35.248	§14.23

S 36.19	§20.13

S 36.31	§20.15

S 38.1	§1.5

S 41.7	§12.11

S 43.1	§15.16

S 43.1-44	§1.10

S 44.1	§10.15

S 44.2	§10.19

S 44.9	§2.11

S 44.10	§5.14

S 45.9	§17.5

S 45.55	§16.13

S 45.158	§18.9

S 45.159	§18.10

S 45.179	§16.3

S 45.180	§16.4

S 48.3	§17.11

S 48.45	§14.4

S 48.54	§14.3

S 48.57	§§7.6, 7.7

S 51.15	§15.1

S 51.20	§13.19

S 52.9	§15.12

S 55.1	§18.6

S 55.2	§18.7

S 55.5	§16.8

S 55.6	§18.11

S 55.17	§19.13

S 55.21	§16.11

S 55.24	§19.9

S 55.26	§19.8

S 55.36	§19.10

S 55.38	§19.14

S 55.41	§19.7

S 55.52	§16.6

S 55.53	§12.16

S 55.54	§19.4
